"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","significant","significant_strict","higher_in_Dsim","lower_in_Dsim"
"CalpA_OG0003035",3224.95154945043,0.0500507423921139,0.223833335393847,0.223607186588391,0.984791969016091,0.999999999999989,0.0500507423921139,0.823062971170023,0.907625137479688,0.041746395754435,1,FALSE,FALSE,FALSE,FALSE
"wb_OG0009175",130.270537343457,-0.211885119785909,0.476260777409815,-0.444893070847161,0.79488594012586,0.999999999999989,-0.211885119785909,0.656397030357053,0.795212846777007,-0.142905744510964,1,FALSE,FALSE,FALSE,FALSE
"Dyrk2_OG0003592_OG0",1454.2962636759,-0.694285870398775,0.31376774389122,-2.21273819223265,0.267961916853304,0.999999999999989,-0.694285870398775,0.02691570067956,0.0924803118937404,-0.602770050627702,1,FALSE,FALSE,FALSE,FALSE
"CG43333_OG0003593_OG0",204.086690692348,2.35766101762155,0.391279344920671,6.02551872013471,1.02892167004506e-06,3.63194544897561e-05,2.35766101762155,1.68568104335929e-09,4.83672166037565e-08,2.24192508436378,0.00860448624046658,TRUE,TRUE,FALSE,TRUE
"CG31769_OG0009409",243.340989865549,0.421588050370848,0.446316145720958,0.944595113604582,0.589197388512662,0.999999999999989,0.421588050370848,0.344865622639964,0.537003066788838,0.305919947185117,1,FALSE,FALSE,FALSE,FALSE
"CG15293_OG0001249",1101.26193479597,-0.883575629408772,0.647286095095274,-1.36504651668551,0.293006171571822,0.999999999999989,-0.883575629408772,0.172238430238308,0.338946726323987,-0.529887572461452,1,FALSE,FALSE,FALSE,FALSE
"CG46301_OG0009410",43.2887072283933,-0.628323472685774,0.674921221165709,-0.930958240727041,0.47188654340979,0.999999999999989,-0.628323472685774,0.351875165805024,0.544629495590646,-0.337606131126802,1,FALSE,FALSE,FALSE,FALSE
"Fak_OG0007040",1830.32989062863,0.109505597424389,0.184232174655037,0.594389105103009,0.983448388526775,0.999999999999989,0.109505597424389,0.552251893721704,0.715181808822319,0.102594669890189,1,FALSE,FALSE,FALSE,FALSE
"CG32679_OG0000370_OG1",41.5213432964132,1.70818307731614,0.940400400184344,1.81644231221221,0.10887309794305,0.626978703119222,1.70818307731614,0.0693025495615207,0.183256782227756,0.800719811513397,1,FALSE,FALSE,FALSE,FALSE
"CG18095_OG0011804",8.03960297160118,-0.848535243806488,2.13173421279807,-0.398049268390133,0.698560411800899,0.999999999999989,-0.848535243806488,0.690593868979989,0.820236944601868,-0.086142053789247,1,FALSE,FALSE,FALSE,FALSE
"hll_OG0000958",224.166264974817,-0.0690488484903245,0.928707078408824,-0.0743494370782954,0.948714782657808,0.999999999999989,-0.0690488484903245,0.940732340751903,0.97216063220326,-0.022020267370925,1,FALSE,FALSE,FALSE,FALSE
"bgm_OG0009412",537.632929007919,2.25744639901161,0.633086566726717,3.56577839059738,0.00275827232311822,0.0406410304906292,2.25744639901161,0.000362777832871998,0.00319277029055867,1.92353694271576,0.411145976901125,TRUE,FALSE,FALSE,TRUE
"rk_OG0009402",304.451862029869,-0.00433371810226295,0.388999636835418,-0.0111406739027279,0.996108616269371,0.999999999999989,-0.00433371810226295,0.991111212167868,0.995677142199354,-0.00180441134574501,1,FALSE,FALSE,FALSE,FALSE
