"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","significant","significant_strict","higher_in_Dsim","lower_in_Dsim"
"CalpA_OG0003035",3224.95154945043,0.418467157542647,0.223750533040265,1.87023982404253,0.642237469659181,0.999999999999952,0.418467157542647,0.061450521771052,0.128601827711523,0.393902218136292,1,FALSE,FALSE,FALSE,FALSE
"wb_OG0009175",130.270537343457,-0.811015958098495,0.478990640616044,-1.69317704633106,0.261167043963741,0.752225477668387,-0.811015958098495,0.0904217723334613,0.174187053770761,-0.655769179075967,1,FALSE,FALSE,FALSE,FALSE
"Dyrk2_OG0003592_OG0",1454.2962636759,-0.839051381351634,0.313916203079459,-2.67285145883104,0.140065537060129,0.495659255380832,-0.839051381351634,0.00752095448916068,0.0228988912200229,-0.764953224961726,1,FALSE,FALSE,FALSE,FALSE
"CG43333_OG0003593_OG0",204.086690692348,3.13071907364381,0.389744344148197,8.03275049567718,7.39948371987703e-12,2.67937762889865e-10,3.13071907364381,9.53113723821349e-16,3.11763499061963e-14,3.04572165132677,8.57333817730631e-07,TRUE,TRUE,FALSE,TRUE
"CG31769_OG0009409",243.340989865549,-3.02915899791201,0.46627813238213,-6.49646377889648,2.91167379476618e-08,7.42136492156897e-07,-3.02915899791201,8.22299019517228e-11,1.68459713539093e-09,-2.90025302419564,0.000187658240212004,TRUE,TRUE,TRUE,FALSE
"CG15293_OG0001249",1101.26193479597,1.68540102982111,0.646226675089789,2.60806477786906,0.0336616671219869,0.170797279973142,1.68540102982111,0.0091055721123529,0.0268246710112636,1.35572668843701,0.937612370464186,FALSE,FALSE,FALSE,FALSE
"CG46301_OG0009410",43.2887072283933,0.98655710353867,0.664692874279014,1.48422999811571,0.244744324501235,0.726020573255932,0.98655710353867,0.137747914049233,0.239666716412256,0.689642505989632,1,FALSE,FALSE,FALSE,FALSE
"Fak_OG0007040",1830.32989062863,-0.0181760740241563,0.184407355385683,-0.098564799577227,0.997987554428894,0.999999999999952,-0.0181760740241563,0.921483819750867,0.948352008086875,-0.016659526185593,1,FALSE,FALSE,FALSE,FALSE
"CG32679_OG0000370_OG1",41.5213432964132,0.444821418446098,0.952423101673556,0.467041819611974,0.683694006301167,0.999999999999952,0.444821418446098,0.64046995829169,0.744690106979666,0.206144008316822,1,FALSE,FALSE,FALSE,FALSE
"CG18095_OG0011804",8.03960297160118,3.88602816985008,1.891354909524,2.05462663315162,0.0469034492227646,0.220327212648631,3.88602816985008,0.0399150811956837,0.0908094519683292,0.792275414945708,0.545561899382407,FALSE,FALSE,FALSE,FALSE
"hll_OG0000958",224.166264974817,-0.0494339723003613,0.928811775598091,-0.0532228096144983,0.963274731117717,0.999999999999952,-0.0494339723003613,0.957554381924952,0.972733667918718,-0.0182085738693385,1,FALSE,FALSE,FALSE,FALSE
"bgm_OG0009412",537.632929007919,1.79710618563928,0.633440016745292,2.83705818725043,0.0204375463703431,0.114015714913119,1.79710618563928,0.00455313133508588,0.0151149789550737,1.48631632837407,0.738334675482054,FALSE,FALSE,FALSE,FALSE
"rk_OG0009402",304.451862029869,-1.50038167495386,0.394485327322789,-3.80339031906799,0.00560787875625942,0.0402636897866142,-1.50038167495386,0.00014272920227875,0.000779411052844392,-1.37442055948233,0.731093133076663,TRUE,FALSE,TRUE,FALSE
"NimC2_OG0003655_OG0",344.598998191862,-3.23487192986356,1.01360537454011,-3.19145104309583,0.00360063893958858,0.0279533780966636,-3.23487192986356,0.00141560099187939,0.00561718258524564,-2.57051984107008,0.152764719191123,TRUE,FALSE,TRUE,FALSE
"Spt5_OG0007041",3416.52650238161,-0.161907708886602,0.101236684785881,-1.59929880387769,0.999580538033449,0.999999999999952,-0.161907708886602,0.109754225196701,0.20150013318152,-0.160404291012484,1,FALSE,FALSE,FALSE,FALSE
"Cyp28a5_OG0000196_OG0",680.999423187965,0.882072334836442,0.573079643001151,1.53917931933009,0.26042188920686,0.751116263205761,0.882072334836442,0.123760524945206,0.221006885516305,0.665865929736843,1,FALSE,FALSE,FALSE,FALSE
"NimC1_OG0000957_OG0",383.489165665687,-3.00302383180756,0.298378621084242,-10.0644738583992,2.4566792521974e-17,1.3619996328708e-15,-3.00302383180756,7.93102546276412e-24,4.42199732193775e-22,-2.94866591841687,4.89692896662106e-10,TRUE,TRUE,TRUE,FALSE
"NimB5_OG0011803",125.436357703124,1.43370817508314,0.393200300289957,3.64625401869196,0.00878353375516409,0.0578475280130371,1.43370817508314,0.000266090948959686,0.00134609371232458,1.31154955099047,0.894522394000456,TRUE,FALSE,FALSE,TRUE
"NimB4_OG0009403",235.425855494725,-0.535556385267653,0.298673128245303,-1.79311874628305,0.452881699837701,0.999999999999952,-0.535556385267653,0.0729539387375023,0.147182771552449,-0.486241147898806,1,FALSE,FALSE,FALSE,FALSE
"NimB3_OG0001890_OG0",235.088065040088,0.201843974048062,0.694194692501774,0.290759892330272,0.822223676748461,0.999999999999952,0.201843974048062,0.771234961931119,0.843903733433326,0.125205493758199,1,FALSE,FALSE,FALSE,FALSE
"NimB2_OG0009404",2867.8283711283,0.751776993384539,0.443396145288896,1.69549735912728,0.287450293257631,0.798626763232485,0.751776993384539,0.089981110805585,0.173406253011627,0.623877224088461,1,FALSE,FALSE,FALSE,FALSE
"NimB1_OG0009405",71.4318064121923,-0.670518434791026,0.384215293432891,-1.74516331403696,0.329747671217706,0.869141525022656,-0.670518434791026,0.0809564451127322,0.159683536862561,-0.580165922315086,1,FALSE,FALSE,FALSE,FALSE
"NimA_OG0009406",109.39728928036,-1.23496585638248,0.700619527988694,-1.76267689815579,0.153720835881897,0.529519506361627,-1.23496585638248,0.0779549992482845,0.154916914154685,-0.860383245730766,1,FALSE,FALSE,FALSE,FALSE
"Ance-3_OG0009407",239.907117785422,0.970516806488775,0.414693910849686,2.3403208513485,0.128464442678694,0.466551286456706,0.970516806488775,0.0192671795423612,0.0499257546472644,0.839287611169023,1,FALSE,FALSE,FALSE,FALSE
"Vajk3_OG0003656_OG0",48597.3424181005,1.93521637482704,0.47239525236231,4.09660419987202,0.00119023090830271,0.0110082336504944,1.93521637482704,4.19254819955714e-05,0.000268372312343472,1.76843134365685,0.240951358091837,TRUE,FALSE,FALSE,TRUE
"RpL11_OG0003036",32426.0728988536,0.198623749556591,0.210279687387045,0.944569359145945,0.924548271945452,0.999999999999952,0.198623749556591,0.344878776281061,0.48017812594297,0.188742169098521,1,FALSE,FALSE,FALSE,FALSE
"Vajk2_OG0012154",60361.4759344409,1.78921621583754,0.526256012657438,3.39989695662102,0.00715380328760898,0.0490225360763317,1.78921621583754,0.00067411251989636,0.00295996813635408,1.56846374737138,0.537252244625283,TRUE,FALSE,FALSE,TRUE
"Vajk1_OG0003657",21.7062043165072,0.476434398348128,1.34603809723695,0.353953130543718,0.741083230896009,0.999999999999952,0.476434398348128,0.723374008658227,0.808513534775744,0.140356521914854,1,FALSE,FALSE,FALSE,FALSE
"Ance-3_OG0001891_OG0",706.140969125199,-0.422743208148056,0.53985520047087,-0.783067770356447,0.600600028468108,0.999999999999952,-0.422743208148056,0.433587316203244,0.565370775482201,-0.312708856055211,1,FALSE,FALSE,FALSE,FALSE
"Ance-2_OG0003658",51.6160268003912,2.6521680141145,0.559071932650054,4.74387616195106,5.91792776157475e-05,0.000807686023982378,2.6521680141145,2.09667053247703e-06,1.88585040652586e-05,2.44919809042918,0.0244908725193085,TRUE,TRUE,FALSE,TRUE
"Acer_OG0000953_OG0",15302.0480300408,-1.67090862485127,0.396541431535485,-4.21370503047105,0.00157453753603992,0.0140975701105472,-1.67090862485127,2.51215327424046e-05,0.000171073976961289,-1.5444192010081,0.400763613887897,TRUE,FALSE,TRUE,FALSE
"Smg5_OG0003594_OG0",4055.52828794774,-0.327277671915299,0.21851117268072,-1.49776172952723,0.785444277231003,0.999999999999952,-0.327277671915299,0.13419516725922,0.235321153737442,-0.301545644083136,1,FALSE,FALSE,FALSE,FALSE
