"","EREC10LA","ERED7Lar","EREF6Lar","MELA5LA","MELE7LA","MELG6Lar","SUZF11LA","SUZF8LA","SUZH10LAR","SIMC11Lar","SIMD11Lar","SIMF7LA","SECA11Lar","SECC7Lar","SECD8Lar","SANB6LA","SAND9LA","SANH4Lar"
"CalpA_OG0003035",4142.94088028412,3795.77132825242,3822.98210720487,2625.83729286527,2395.44990837115,2524.91581658209,2930.65792011039,4654.1100205228,3121.58205159899,2646.31181523264,2133.59979266703,2508.3582011563,2743.1630384604,3358.47479015673,4902.49303329933,2560.7552470124,3615.07204330271,3566.65260302802
"wb_OG0009175",35.5348107794299,32.5049995996782,105.501679186227,87.0786942758319,200.423805688334,204.125924236501,218.505561080827,138.889544531367,249.277415631287,173.483500894543,257.302605269523,139.672746215712,74.5556867173874,32.9969890343922,70.331123684463,129.992190387921,99.2372717769372,95.4551231918707
"Dyrk2_OG0003592_OG0",786.991544615021,824.814364841835,952.007278326114,963.048892645808,1909.80760997249,1625.39075492796,1636.87499265812,1201.52558806853,1566.40538200741,2755.54216764772,1894.2977811818,2629.13404641341,1422.23076292408,576.416152194539,1363.87218282223,1558.99724835863,1276.92040521141,1233.05559134911
"CG43333_OG0003593_OG0",317.723014027844,215.345622347868,195.219642588688,94.3352521321513,245.711877165987,225.452513335837,180.171252119278,86.4783956516062,133.621677748302,41.3055954510818,38.1189044843738,31.2209668011593,236.633266537795,285.630186328958,379.236451239752,412.702478574238,237.966927220207,316.686408707148
"CG31769_OG0009409",308.31674058623,231.598122147707,275.799665274232,457.163144948118,165.73507008843,537.734710861827,373.759512375099,454.666716531929,117.901480366149,294.646580884383,302.833518959192,269.486239757375,138.576330746448,205.200025557627,140.662247368926,35.452415560342,42.5302593329731,28.0750362329032
"CG15293_OG0001249",474.494238054741,69.0731241493162,480.157248579838,503.812445453028,137.79136641073,496.604860455965,1633.99991948601,746.858871536599,364.933153514271,643.449386915741,582.3721518446,874.187070432459,2418.19749092048,2146.86659905014,1494.88113870506,1130.84115274527,2707.75984419929,2916.43476387398
"CG46301_OG0009410",18.8125468832276,0,24.0909346173275,25.9162780582833,17.344367799952,45.6998337842912,34.5008780653937,20.9644595519045,20.2116823484827,33.0444763608654,62.4726490160571,42.7234282542179,59.1583166344487,37.1216126636912,63.4359154801039,73.6319400099411,91.1362699992281,108.931140583664
"Fak_OG0007040",1831.08789663415,1393.6518578362,1730.3936830308,1908.47471621198,2113.12214362748,2045.82922574344,2046.09374082266,1919.55832772126,2052.60862961258,1878.94564196365,2074.30371902467,1671.96493264103,1861.46100423738,1065.18405226647,1799.64934133773,1795.34668542758,2023.22519398286,1735.03723919341
"CG32679_OG0000370_OG1",36.5799522729426,0,49.8433130013672,52.869207238898,19.2715197777244,66.2647589872223,83.3771219913682,15.7233446639284,47.1605921464596,5.5074127268109,18.0005937842876,18.8969009585964,72.1245230200813,135.081423859543,68.9520820435912,16.3626533355425,22.2777548887002,19.0910246383741
"CG18095_OG0011804",2.09028298702529,4.87574993995173,0,0,1.92715197777244,0,4.79178862019357,0,1.12287124158237,0,0,3.28641755801676,25.1220248721632,44.3397040149645,6.89520820435912,0,33.4166323330503,16.8450217397419
"hll_OG0000958",310.407023573255,24.3787496997587,205.188305188962,191.780457631297,471.188658565362,199.555940858072,213.713772460633,231.919333792944,129.130192781973,126.670492716651,547.429822733924,230.870833450678,78.6076262128976,196.950778299029,2.75808328174365,167.262678541101,250.11842988677,457.061589871663
