gene	ERE_LA	MEL_LA	SAN_LA	SEC_LA	SIM_LA	SUZ_LA
128up_OG0006588	70.7619547024978	75.3489936761028	62.6313252991542	87.4401169572234	85.5616169259693	74.2307226015718
14-3-3epsilon_OG0002478	190.058347628426	230.593525470627	173.552324296558	214.533386388877	273.448081504452	189.126615444352
140up_OG0004534	13.95633730439	15.6145299117712	17.4878289204237	15.3410591755168	12.3594822114503	13.4939638820484
18w_OG0003044	44.2682986122442	54.9223434621473	44.7264485881207	36.8845836037419	70.8238551487244	46.3447800094998
26-29-p_OG0010897	245.637553705942	201.491143668737	238.032975285975	193.273230603613	221.053356009674	253.51400057629
2mit_OG0000576_OG0	1.77463980775985	1.34581369898771	5.15051058057139	2.59683316863917	3.21678862070921	5.11298567886481
5-HT7_OG0005777	2.29564391523876	1.30503749190697	2.26376903989949	2.09357147562857	2.01701113322993	2.945274077072
5PtaseI_OG0005188	4.83030660801733	4.85374403681982	3.92720394382551	4.5979992741622	6.82361056064888	4.34073392569988
7B2_OG0004187	17.3672835337705	23.5130158283502	48.3753680280624	53.5011131800137	51.7032343906809	23.7809259024856
a_OG0006460	7.86862274755941	6.71740291511667	4.27877886945088	5.42505310261292	9.74707020049075	3.40744872099451
a6_OG0007651	19.890499545848	21.5436369929298	22.03970988167	16.1620178216283	29.6254872743821	18.1509121881508
AANATL2_OG0003640	161.524975120699	113.862129057625	28.957895903695	62.4435499913168	78.372472722766	20.7653051421202
Aasdh_OG0001831	4.61170459920316	8.53790893110963	19.461720417145	4.66325514086551	6.82258681162602	3.02485729070439
Aatf_OG0001947	28.6131796024926	23.9084921445771	21.1585917038021	30.5389277715772	26.818432106729	19.1336945978974
aay_OG0011265	64.5756544142682	51.7962360542752	42.9489363019488	37.5007586092429	54.0698997736845	36.8431439585572
ab_OG0009683	4.38813589878274	5.03137415777365	3.50171535184229	4.65786887612945	6.87082021734654	3.16198428149212
ab_OG0009684	66.5434709789533	64.9377195588088	51.2391743253966	53.5642878825173	84.2430003659228	46.575055808735
ABCB7_OG0011281	13.4250446631619	17.903007659768	13.2819189879508	16.7436649545283	16.9557487722174	15.5374244535812
Abcd3_OG0003257	18.2586299101912	15.70413141957	10.3143292526955	17.4775973905957	19.0235509619696	11.6707092256895
Abi_OG0002227_OG0	36.9861345395406	39.5597846131684	37.5167038410169	34.2790908533227	49.4073370443554	38.4215152089937
Abl_OG0010722	5.84741771934433	7.2905124285984	6.86582538192176	5.80766114989177	11.0939483555896	6.07535815672501
abo_OG0009656	14.0637785187476	12.2596999427126	14.4170434228691	10.6326622739169	12.4055557010776	17.0970135132002
Abp1_OG0010565	41.9975399412549	47.7112834032419	37.4790473118256	42.6421958582736	72.1103266643337	40.6372220254119
abs_OG0003097	16.9061080787439	24.4383383809264	29.0135982881836	24.9466021165138	40.0196889741281	31.9301587704148
ac_OG0007843	7.66161810746631	15.1641007541753	5.54502789994523	7.74250498409546	17.8150342251352	3.83747360134699
Ac13E_OG0008321	4.95387285458268	4.51792387423022	5.47248240843575	3.99929362832752	1.43968945018007	3.29179080467973
Acat2_OG0011313	27.2431514047092	36.9129917401513	25.6405561727794	38.3634478848499	54.1482154038796	44.2840008883262
Acbp1_OG0009246	136.363702900058	145.954167222027	85.8558643563368	132.811264638686	187.558973660747	114.992497668085
Acbp2_OG0010415	38.4376627012359	55.1678727003437	81.7581240283704	76.6660149449807	59.1290125187459	89.9184327492988
Acbp4_OG0000311_OG0	42.2866706880631	160.552944332363	426.912717547213	857.989899934612	77.3986366059942	122.265061705419
Acbp6_OG0010414	38.7812835819922	10.529764136713	65.6283594093316	393.394346607227	41.91876113405	49.4324619305937
ACC_OG0007193	18.5553604811591	22.5767596786354	27.4965610598578	25.3433770746824	27.4406580708009	34.8833180122662
AcCoAS_OG0000812	9.2844400678719	12.9483761670846	10.7607088170959	12.6152736265461	12.5931852096156	21.0832077208588
Acer_OG0000953_OG0	228.492229310887	583.181988629887	143.441766860437	292.554867548728	617.011965602347	109.493797524329
Acer_OG0003808	44.0346019443438	43.5167898547233	46.9730917784606	55.684904170982	120.36592966988	18.2485024393107
Acf_OG0002671	23.8047693842607	29.0826873149705	22.4997542042033	24.1064040466272	35.7323913444646	33.1701066788176
Achl_OG0002770	7.74380489212866	50.6967220097404	1.93879670730756	23.5014578320363	129.269535745479	2.700950965017
Ack_OG0010507	25.499302646528	23.8595573029006	21.2910765001862	21.8114256667077	35.3381151160711	23.5849613059285
Ack-like_OG0006546	22.2689315911893	28.1099642901927	18.6606785319488	14.470488618451	35.3774139626094	22.6393781291104
Acn_OG0009540	107.137138827342	126.36709102209	100.445398281065	114.460173460687	176.160461374079	109.999424672144
ACOX1_OG0006075	20.8269946838765	27.5929760934393	17.9040793323618	23.9583660481412	22.7991089583453	32.1928674422013
Acox57D-d_OG0006913	3.90657366289788	3.90920681673197	9.36249167339579	12.6352812347293	5.81853819042648	4.06625011529398
Acox57D-p_OG0001151	4.41731909147485	10.0325692614035	3.19567914630709	11.2676590083464	8.4374955951236	8.61373799830545
Acph-1_OG0001513	45.2299359910367	36.3515954618974	33.7382963150921	28.2335938080392	41.6171153126798	34.8701596179499
Acsf2_OG0008829	51.3027167220503	12.2919829156495	28.1944901760056	19.4516516160068	9.56357149142727	15.4969634327086
Acsl_OG0007133	25.1093411213046	25.7365817793711	35.8799791363929	31.9980397197935	30.4500741418006	36.904742915087
Act42A_OG0000022_OG3	13280.7917364119	15715.3670367279	19006.7292423033	21121.9697609674	9684.98526430899	21306.4909057251
Act42A_OG0000022_OG4	3484.55478036601	1403.81170213338	2115.98409840935	3062.80072460254	2341.03023882138	1670.41178884618
Act42A_OG0000022_OG5	749.444525446397	1037.72417917724	527.490682099856	673.256512154217	1122.53000739788	105.421780331749
Actn_OG0003148_OG0	215.431928319225	243.111642163124	306.953015739315	362.424634091442	218.585789305568	401.595674136413
Acyp2_OG0011498	34.671147011447	35.9611806140534	23.8004643839484	40.7148550547329	44.0040449921175	11.6354230693052
Ada_OG0002342	6.44821045459556	6.06114544362783	2.36169267914794	7.05136111366459	5.54846410900642	3.10853781540333
Ada2a_OG0005051	5.60886682170833	14.9170540751467	7.91702742878714	5.16484997430329	8.87645704707824	4.5778804460589
Ada2b_OG0004799	25.0241588798149	20.1736203500655	15.8290441107458	19.8147593241422	30.641785640975	16.6708836729632
Ada3_OG0007872	23.1416638763606	25.9802188819166	26.8900699099549	27.1330135790405	41.4853280265948	21.6091300321255
AdamTS-A_OG0005247	17.7719970857404	19.2751742553134	13.8588743735922	15.6529643638635	35.5254356172144	11.2007667646879
AdamTS-B_OG0008089	31.6044563851554	32.0873435807583	26.4993880699126	28.4296409332446	31.7176322800187	7.24527394393834
Adar-PQ_OG0007649	5.82055075593276	9.31035240184156	6.2637710964467	4.07223125247866	9.21311334647195	8.37386095888987
Adat1_OG0003596	2.82319623901128	4.80721887452392	2.55220657147625	2.30341815870206	2.91563208569985	3.86495834264416
Adck1_OG0006032	12.5061028449548	14.379368786057	11.3901238534752	14.2908778430467	15.5270577382765	16.7399018593286
Adck5_OG0010063	15.4292244796445	3.97596451986454	9.2940914470481	6.74232768335062	8.99766095285778	7.5699741226328
ADD1_OG0006579	12.7752742307508	16.992326045163	13.1128790856898	10.91723371341	21.8280709088735	25.1085573967475
