"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"holn1_OG0001887_OG0",528.135069679341,-5.21324522363636,0.239916688199547,-21.7293980788044,3.16846518759418e-86,1.29550620357757e-83,-5.21324522363636,1.08211233177469e-104,4.42448679654377e-102,-5.1966184395168,1.08744181108001e-66,3.16846518759418e-86,1.29550620357757e-83,TRUE,TRUE,TRUE,FALSE
"CG10347_OG0000607_OG0",924.984101890275,-3.45424052832337,0.153555764258933,-22.4950235179622,8.74782289401656e-83,3.43369544235938e-80,-3.45424052832337,4.64335379017169e-112,2.16977289252165e-109,-3.44476548235193,2.75735190275944e-55,8.74782289401656e-83,3.43369544235938e-80,TRUE,TRUE,TRUE,FALSE
"shu_OG0001153",348.67589877178,-5.19933710763832,0.244666673257597,-21.2506960527649,1.61402866851443e-82,6.09171666312773e-80,-5.19933710763832,3.24814697482254e-100,1.27496265055734e-97,-5.17771087105141,9.40094519241869e-64,1.61402866851443e-82,6.09171666312773e-80,TRUE,TRUE,TRUE,FALSE
"dmt_OG0001387_OG0",962.710732771734,5.66731646474458,0.270138373819302,20.9793091763242,7.32427248727523e-82,2.66196614509747e-79,5.66731646474458,1.01355094256902e-97,3.68369459238139e-95,5.64062120984313,1.36385974869737e-64,7.32427248727523e-82,2.66196614509747e-79,TRUE,TRUE,FALSE,TRUE
"btsz_OG0001035_OG1",5815.03032001325,-5.99579076044868,0.293460957022042,-20.4313065059566,1.47727962640154e-78,5.17733749067083e-76,-5.99579076044868,8.81125414823331e-93,2.78918828892302e-90,-5.96660321874374,9.95794965329856e-63,1.47727962640154e-78,5.17733749067083e-76,TRUE,TRUE,TRUE,FALSE
"CG11961_OG0001155_OG0",1587.60235286324,-5.3750406707216,0.26150467306612,-20.5542815265965,7.29579673035124e-78,2.4687466660323e-75,-5.3750406707216,7.04656628740877e-94,2.38441224063249e-91,-5.34141152014771,1.38250600702749e-60,7.29579673035124e-78,2.4687466660323e-75,TRUE,TRUE,TRUE,FALSE
"CG8677_OG0000970_OG0",3342.03300006679,-5.21537997236156,0.253856639389339,-20.5445876259425,2.56159030094737e-77,8.37896187439884e-75,-5.21537997236156,8.60388763275748e-94,2.81433164467497e-91,-5.19027131171963,1.07842232041585e-59,2.56159030094737e-77,8.37896187439884e-75,TRUE,TRUE,TRUE,FALSE
"Ets97D_OG0002613_OG0",424.140427995286,-4.3840085746207,0.218392726718952,-20.0739678490412,4.65835884226651e-71,1.47459597803746e-68,-4.3840085746207,1.2464494611113e-89,3.59747310643683e-87,-4.36320330045396,5.74376901229081e-52,4.65835884226651e-71,1.47459597803746e-68,TRUE,TRUE,TRUE,FALSE
"htt_OG0001074_OG0",2970.94620957265,-5.05823143358126,0.257201414942983,-19.66642148801,1.4076868742606e-70,4.31675978034977e-68,-5.05823143358126,4.1827873691467e-86,1.14015812370657e-83,-5.03298582434445,6.93287904412096e-54,1.4076868742606e-70,4.31675978034977e-68,TRUE,TRUE,TRUE,FALSE
"tup_OG0009533",617.892000635086,-3.68857252810097,0.181687031989914,-20.3017930762705,2.98407119801215e-69,8.87354262608884e-67,-3.68857252810097,1.23977530861335e-91,3.68664094043116e-89,-3.67062134582312,2.00637319887509e-47,2.98407119801215e-69,8.87354262608884e-67,TRUE,TRUE,TRUE,FALSE
