"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"CG7379_OG0002605_OG0",1191.57554247399,-8.80563937982557,0.459081457908809,-19.1809955033616,1.84689187528303e-73,6.97059614313552e-71,-8.80563937982557,5.33491112855405e-82,1.68875751304841e-79,-8.75862399664785,1.47910660358899e-62,1.84689187528303e-73,6.97059614313552e-71,TRUE,TRUE,TRUE,FALSE
"f-cup_OG0001377_OG0",559.294698233239,-6.78852376525211,0.347631430839617,-19.5279343667404,1.92332394557641e-73,6.99021402886716e-71,-6.78852376525211,6.35587706446452e-85,2.15069729771001e-82,-6.75662459237169,5.18649128950787e-60,1.92332394557641e-73,6.99021402886716e-71,TRUE,TRUE,TRUE,FALSE
"SA_OG0001939_OG0",1523.04890635763,-9.34652902665542,0.491015185554425,-19.0351119509713,7.18953221892148e-73,2.51967427372416e-70,-9.34652902665542,8.7305758554889e-81,2.51979826087978e-78,-9.29651970794414,1.53058373697125e-62,7.18953221892148e-73,2.51967427372416e-70,TRUE,TRUE,TRUE,FALSE
"Rpt3R_OG0004561",424.50293491654,-6.30655493812713,0.329072331436011,-19.1646466009661,5.53673390504931e-70,1.87351620035341e-67,-6.30655493812713,7.30511612257453e-82,2.24015951596325e-79,-6.27027486237104,2.84349830697771e-56,5.53673390504931e-70,1.87351620035341e-67,TRUE,TRUE,TRUE,FALSE
"CG5589_OG0003902_OG0",500.716847882184,-3.66823567488338,0.182062767599099,-20.1481924242787,3.99147724404673e-68,1.30561220652768e-65,-3.66823567488338,2.79120969722862e-90,1.14125586495435e-87,-3.65154534504927,1.73956787538942e-46,3.99147724404673e-68,1.30561220652768e-65,TRUE,TRUE,TRUE,FALSE
"CG10527_OG0002810_OG0",18948.5902714258,-4.60971139038934,0.237668284652417,-19.3955680587796,2.71181114184471e-67,8.58419443062004e-65,-4.60971139038934,8.41184558760754e-84,2.75151469170643e-81,-4.58565016829271,6.50925427942277e-50,2.71181114184471e-67,8.58419443062004e-65,TRUE,TRUE,TRUE,FALSE
"su(f)_OG0001788_OG0",1624.24896237935,-2.69975776007407,0.128224712821687,-21.0548941827496,2.85929159238816e-66,8.76819637378283e-64,-2.69975776007407,2.06243437036761e-98,1.01193342382087e-95,-2.69022813782778,4.8603877582656e-38,2.85929159238816e-66,8.76819637378283e-64,TRUE,TRUE,TRUE,FALSE
"Cdk1_OG0000555_OG0",1203.99571310484,-8.2986867672332,0.462626547404087,-17.9381983455104,4.62761721306127e-64,1.37608508217486e-61,-8.2986867672332,5.93483386868742e-72,1.66395785009799e-69,-8.24524375073373,7.13231139995277e-54,4.62761721306127e-64,1.37608508217486e-61,TRUE,TRUE,TRUE,FALSE
"Cnot4_OG0003647_OG0",4026.87903880403,-11.6880228869765,0.668229396629096,-17.4910336868403,3.19615839682075e-63,9.22467716117707e-61,-11.6880228869765,1.67687928842431e-68,4.33032012034416e-66,-11.6131152578417,2.28121448164023e-55,3.19615839682075e-63,9.22467716117707e-61,TRUE,TRUE,TRUE,FALSE
"Opbp_OG0002985_OG0",465.422531407405,-3.52406093328574,0.184575425101133,-19.0927959740839,1.24667091702944e-60,3.49530905965997e-58,-3.52406093328574,2.8983348361738e-81,8.61859386284046e-79,-3.50718567628488,1.71479414784331e-40,1.24667091702944e-60,3.49530905965997e-58,TRUE,TRUE,TRUE,FALSE
"Fum4_OG0000368_OG0",200.021237832822,-6.1452575494964,0.349237476076426,-17.5962145258191,4.48641698118956e-59,1.22292249545592e-56,-6.1452575494964,2.63348858574855e-69,6.98443878160824e-67,-6.10614201820626,5.72498524387101e-47,4.48641698118956e-59,1.22292249545592e-56,TRUE,TRUE,TRUE,FALSE
"Debcl_OG0002986_OG0",687.892694551021,-8.87749977335684,0.534172058989531,-16.6191765816992,9.86151567822276e-56,2.61543387433513e-53,-8.87749977335684,5.06231373801559e-62,1.12901101616243e-59,-8.80941057865376,4.77378416088008e-47,9.86151567822276e-56,2.61543387433513e-53,TRUE,TRUE,TRUE,FALSE
"Hyccin_OG0002762_OG0",550.987445699904,-6.5829295848457,0.389615279090759,-16.8959738956034,2.98492413869152e-55,7.70817383499471e-53,-6.5829295848457,4.81694306772585e-64,1.21201698265625e-61,-6.54045747959583,1.90264522997304e-44,2.98492413869152e-55,7.70817383499471e-53,TRUE,TRUE,TRUE,FALSE
"CG30043_OG0000025_OG2",135.370048327324,-6.74924508526302,0.401350213059853,-16.8163485794799,5.77018532250131e-55,1.45186739922321e-52,-6.74924508526302,1.85229001823648e-63,4.32774332117965e-61,-6.70062776572852,1.97885309747e-44,5.77018532250131e-55,1.45186739922321e-52,TRUE,TRUE,TRUE,FALSE
"GckIII_OG0002555_OG0",1450.36155930082,-2.20746694707003,0.111124716852937,-19.8647700492358,1.39825033594552e-53,3.43025763665834e-51,-2.20746694707003,8.21273638522803e-88,3.09967623647087e-85,-2.19965009732294,1.33014209075881e-25,1.39825033594552e-53,3.43025763665834e-51,TRUE,TRUE,TRUE,FALSE
"ome_OG0004047_OG0",2105.2499179531,-5.36373610879436,0.318498629631465,-16.8406881844382,5.98269416331131e-53,1.43190677620912e-50,-5.36373610879436,1.22800013446122e-63,2.93911349255316e-61,-5.32581809503551,1.22901191109742e-40,5.98269416331131e-53,1.43190677620912e-50,TRUE,TRUE,TRUE,FALSE
"Helz_OG0001001_OG1",7293.69502694554,-13.3694871532823,0.859066945236262,-15.56280011403,4.90346480692066e-51,1.14565952738839e-48,-13.3694871532823,1.3027266405415e-54,2.66326177575703e-52,-13.2621548281575,7.18127713407878e-45,4.90346480692066e-51,1.14565952738839e-48,TRUE,TRUE,TRUE,FALSE
"scrib_OG0001506_OG0",4137.62302066222,-3.80688473796295,0.225576654312709,-16.8762354843937,5.83990226447612e-49,1.33272002142568e-46,-3.80688473796295,6.73020256816315e-64,1.65108694503462e-61,-3.77857549952702,1.62521458640193e-33,5.83990226447612e-49,1.33272002142568e-46,TRUE,TRUE,TRUE,FALSE
"CG5664_OG0003945_OG0",308.938032165869,-3.87398772231487,0.2304772999296,-16.8085435029749,7.90361433999321e-49,1.76268562541712e-46,-3.87398772231487,2.11299456114088e-63,4.82205014615708e-61,-3.84871855238914,1.19072220365656e-33,7.90361433999321e-49,1.76268562541712e-46,TRUE,TRUE,TRUE,FALSE
"Unr_OG0004093_OG0",4482.58427154938,-11.6901266900117,0.766558144603135,-15.2501500014249,1.44849542263478e-48,3.1586856849589e-46,-11.6901266900117,1.64255350487153e-52,3.28946480475598e-50,-11.5913848488229,4.20876952098455e-42,1.44849542263478e-48,3.1586856849589e-46,TRUE,TRUE,TRUE,FALSE
"lilli_OG0003546_OG0",2242.06533958445,-2.7613138933412,0.156630108074304,-17.6295217266354,1.50737648371317e-47,3.21562726840811e-45,-2.7613138933412,1.46198487766284e-69,3.98512711236263e-67,-2.74741799395533,2.14614728175711e-27,1.50737648371317e-47,3.21562726840811e-45,TRUE,TRUE,TRUE,FALSE
"Cyp9h1_OG0003022",219.864255396903,-3.98143246641806,0.241671498896798,-16.4745635484235,2.38441969132143e-47,4.978363921476e-45,-3.98143246641806,5.58904575659562e-61,1.21878457798828e-58,-3.95212326755121,5.99765103359162e-33,2.38441969132143e-47,4.978363921476e-45,TRUE,TRUE,TRUE,FALSE
"CG5866_OG0012424",8851.31309075789,6.60837456898915,0.449611695419232,14.697959675687,2.42800021685518e-42,4.96374294333331e-40,6.60837456898915,6.64313241467988e-49,1.18525560700461e-46,6.54507192197636,1.15674931408397e-33,2.42800021685518e-42,4.96374294333331e-40,TRUE,TRUE,FALSE,TRUE
"Obp56d_OG0003041_OG0",17636.8640876337,-8.32226239089808,0.585182846562823,-14.221644465111,4.70001019129743e-41,9.4124897973881e-39,-8.32226239089808,6.72537469920918e-46,1.08190331021868e-43,-8.23991150246733,7.25279527382307e-34,4.70001019129743e-41,9.4124897973881e-39,TRUE,TRUE,TRUE,FALSE
"bc10_OG0010387_OG0",220.168795863233,-3.22847923365063,0.207315879184442,-15.5727542258274,7.35865456443509e-40,1.44420954481603e-37,-3.22847923365063,1.11500830738556e-54,2.327995004335e-52,-3.20437198958361,4.58295794525384e-25,7.35865456443509e-40,1.44420954481603e-37,TRUE,TRUE,TRUE,FALSE
"CG3939_OG0008123",893.709607350186,7.40731833141869,0.527770043056543,14.0351246321594,1.93469396790343e-39,3.72257880530125e-37,7.40731833141869,9.50292225211204e-45,1.50406735580606e-42,7.32279919380178,6.33345052123453e-32,1.93469396790343e-39,3.72257880530125e-37,TRUE,TRUE,FALSE,TRUE
"CG6357_OG0012581",1375.59957585891,4.59194881965129,0.313181566171815,14.6622576666345,2.58399171503533e-39,4.87629051916186e-37,4.59194881965129,1.12470166911792e-48,1.93626271562353e-46,4.5508222320925,1.74361802619048e-28,2.58399171503533e-39,4.87629051916186e-37,TRUE,TRUE,FALSE,TRUE
"Odj_OG0002606_OG0",700.126629098193,-9.19079740760539,0.671042085481166,-13.6963055022327,1.15661273401255e-38,2.14147938846513e-36,-9.19079740760539,1.06822955551909e-42,1.61269794281674e-40,-9.09574284653384,2.9483374619766e-32,1.15661273401255e-38,2.14147938846513e-36,TRUE,TRUE,TRUE,FALSE
"CG7914_OG0000779_OG0",176.938842282497,-3.32469704959664,0.218369950348227,-15.2250666554389,1.42117655473622e-38,2.58259361696788e-36,-3.32469704959664,2.41112757544387e-52,4.73207897956614e-50,-3.29687914146831,1.35777620281584e-24,1.42117655473622e-38,2.58259361696788e-36,TRUE,TRUE,TRUE,FALSE
"CG5254_OG0003190_OG0",1500.68832756177,9.0119961141972,0.660693544708285,13.640206093093,2.79013352341889e-38,4.97810550278355e-36,9.0119961141972,2.30907101816898e-42,3.43316877292306e-40,8.87611606621955,7.34168583586855e-32,2.79013352341889e-38,4.97810550278355e-36,TRUE,TRUE,FALSE,TRUE
"CLS_OG0001451_OG0",974.428309708824,-3.63013297490968,0.244242180665435,-14.8628421389762,6.69675777375108e-38,1.17348721488963e-35,-3.63013297490968,5.74358776745018e-50,1.06343069362243e-47,-3.59877573342012,3.77409063807427e-25,6.69675777375108e-38,1.17348721488963e-35,TRUE,TRUE,TRUE,FALSE
"mth_OG0000032_OG0.2",1228.68022426022,9.15888457090694,0.678797814974104,13.4928020816572,1.43942828514816e-37,2.4780894319577e-35,9.15888457090694,1.72420784504566e-41,2.52532113185568e-39,9.04382187027296,2.64473005196625e-31,1.43942828514816e-37,2.4780894319577e-35,TRUE,TRUE,FALSE,TRUE
"CG8915_OG0000695_OG0",378.084823934219,-4.52106044970108,0.316502119979608,-14.2844555037811,2.78458124489458e-37,4.71122340623285e-35,-4.52106044970108,2.73539066963092e-46,4.47373144018137e-44,-4.47150703038069,7.89131682603232e-27,2.78458124489458e-37,4.71122340623285e-35,TRUE,TRUE,TRUE,FALSE
"CG33303_OG0003649_OG0",5358.48754586412,-13.464030178109,1.02575471071301,-13.1259745019841,6.47271340224968e-37,1.07655485790299e-34,-13.464030178109,2.3375624159155e-39,3.23077464610968e-37,-13.3146771608261,5.66860851266016e-32,6.47271340224968e-37,1.07655485790299e-34,TRUE,TRUE,TRUE,FALSE
"Jheh2_OG0002941",4191.72451335142,2.20010756729736,0.138070861468249,15.9346262049889,3.84096808413707e-35,6.28190330160617e-33,2.20010756729736,3.64373038521702e-57,7.77302745002926e-55,2.18634227266089,1.71348985382312e-16,3.84096808413707e-35,6.28190330160617e-33,TRUE,TRUE,FALSE,TRUE
"CG16734_OG0002344_OG0",396.708640850384,3.24605829258253,0.223452110977363,14.526863399878,5.17323368233842e-35,8.32212165980114e-33,3.24605829258253,8.1884908022701e-48,1.38540793521856e-45,3.21928874981348,5.91127386734812e-22,5.17323368233842e-35,8.32212165980114e-33,TRUE,TRUE,FALSE,TRUE
"Kap-Î±3_OG0001302_OG0",1515.83546420233,-2.59015481628075,0.172399398121095,-15.0241523143915,3.94514200406417e-34,6.24414169127125e-32,-2.59015481628075,5.10097045200342e-51,9.81486726382541e-49,-2.56870237979452,1.60078418248036e-18,3.94514200406417e-34,6.24414169127125e-32,TRUE,TRUE,TRUE,FALSE
"sinu_OG0003988_OG0",1044.65952361028,-2.77819959355236,0.189118016489257,-14.6902957482646,1.01249487771555e-33,1.57708130714646e-31,-2.77819959355236,7.43884184547683e-49,1.30352419695829e-46,-2.75496546831052,3.10949758911206e-19,1.01249487771555e-33,1.57708130714646e-31,TRUE,TRUE,TRUE,FALSE
"mRpS7_OG0009379_OG0",822.699126007105,-9.55421475674975,0.75357089255796,-12.6785878423707,1.48041020400858e-33,2.26988520811502e-31,-9.55421475674975,7.7719462144102e-37,1.00350142371062e-34,-9.45084968076667,6.49804507353419e-28,1.48041020400858e-33,2.26988520811502e-31,TRUE,TRUE,TRUE,FALSE
"rnh1_OG0003069_OG0",442.277108912988,-2.97809804448,0.206476875924483,-14.4233974441245,1.73786732899873e-33,2.62364493837916e-31,-2.97809804448,3.68735329127888e-47,6.13288099107112e-45,-2.95159535504377,5.86475787316505e-20,1.73786732899873e-33,2.62364493837916e-31,TRUE,TRUE,TRUE,FALSE
"mop_OG0000816_OG0",3922.82016660949,-12.9673207918387,1.04511232149603,-12.4075857925745,4.17015561610825e-33,6.20026319104095e-31,-12.9673207918387,2.37712748596155e-35,2.91584400246758e-33,-12.8056914585576,2.11813133616459e-28,4.17015561610825e-33,6.20026319104095e-31,TRUE,TRUE,TRUE,FALSE
"CG11279_OG0003924_OG0",222.546518662041,-5.56924526539393,0.425480560708099,-13.0893060217026,4.9931269051109e-33,7.31306780893332e-31,-5.56924526539393,3.79055242558246e-39,5.1662070767001e-37,-5.51060576058562,5.03840346464839e-25,4.9931269051109e-33,7.31306780893332e-31,TRUE,TRUE,TRUE,FALSE
