"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"CG31688_OG0009420",848.212795614045,-6.17827212641224,0.239066176244659,-25.843355272849,5.25284956792441e-125,5.15462128100423e-121,-6.17827212641224,2.88973905624434e-147,2.83570093589257e-143,-6.15393051862945,2.37900090701809e-100,5.25284956792441e-125,5.15462128100423e-121,TRUE,TRUE,TRUE,FALSE
"CG18273_OG0003185_OG0",1316.12519386421,-7.51329214575259,0.304489864178248,-24.6750155905167,1.09079188092341e-117,5.3519703637507e-114,-7.51329214575259,1.98374597077504e-134,6.48883307040514e-131,-7.48882428353059,3.98959805602738e-98,1.09079188092341e-117,5.3519703637507e-114,TRUE,TRUE,TRUE,FALSE
"Cndp2_OG0000776_OG0",3269.83066491752,3.90517032303083,0.153152469667231,25.4985788444415,8.08138410265629e-110,2.64342073997887e-106,3.90517032303083,2.04410596187721e-143,1.00294059019506e-139,3.90113050714804,3.01159107486646e-77,8.08138410265629e-110,2.64342073997887e-106,TRUE,TRUE,FALSE,TRUE
"jbug_OG0003014_OG0",13246.3188345001,-5.42360011082435,0.224582651716117,-24.1496841780996,7.78185446751509e-107,1.90908344724314e-103,-5.42360011082435,7.52389550007824e-129,1.84579966355669e-125,-5.40386470779901,2.80736502519619e-83,7.78185446751509e-107,1.90908344724314e-103,TRUE,TRUE,TRUE,FALSE
"Spf45_OG0002689_OG0",1152.12827129095,8.01956953663184,0.345829141943009,23.1893977805763,3.97118629485993e-105,7.7938502222921e-102,8.01956953663184,5.82526084842015e-119,1.14326569411094e-115,7.97594567445813,2.199444758394e-88,3.97118629485993e-105,7.7938502222921e-102,TRUE,TRUE,FALSE,TRUE
"dmt_OG0001387_OG0",962.710732771734,5.82476306632293,0.269754596981009,21.5928222596073,4.95849845177901e-87,8.10962421788457e-84,5.82476306632293,2.09801636368968e-103,2.94111922526955e-100,5.79825273820357,1.24537076918189e-68,4.95849845177901e-87,8.10962421788457e-84,TRUE,TRUE,FALSE,TRUE
"sordd1_OG0000608_OG0",2505.88662817247,-2.77308890190126,0.120235679333179,-23.063777052541,5.15974706499096e-80,7.23322827839376e-77,-2.77308890190126,1.06996303865232e-117,1.74992454971587e-114,-2.76223963937467,1.31946530602289e-46,5.15974706499096e-80,7.23322827839376e-77,TRUE,TRUE,TRUE,FALSE
"CG33523_OG0010223",684.494021167712,-4.55919642989693,0.2153806016986,-21.168092177015,1.56612620394769e-79,1.92104955491734e-76,-4.55919642989693,1.88015702447919e-99,2.30624761015179e-96,-4.54112204998908,1.48325586993575e-58,1.56612620394769e-79,1.92104955491734e-76,TRUE,TRUE,TRUE,FALSE
"egg_OG0006047",7533.37485672597,4.36066346782129,0.206372145547958,21.1300970692672,2.1589203499016e-78,2.35394282150938e-75,4.36066346782129,4.20681579216695e-99,4.5868314853927e-96,4.33609262669564,6.93462190394893e-57,2.1589203499016e-78,2.35394282150938e-75,TRUE,TRUE,FALSE,TRUE
"CG11550_OG0002660",706.554459257692,7.60033885803487,0.383337305042235,19.8267655092882,6.80738855136704e-77,6.68009038545647e-74,7.60033885803487,1.74933504321117e-87,1.56056588900283e-84,7.55658414928708,1.3617072141676e-63,6.80738855136704e-77,6.68009038545647e-74,TRUE,TRUE,FALSE,TRUE
