"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","significant","significant_strict","higher_in_Dsim","lower_in_Dsim"
"CalpA_OG0003035",3224.95154945043,0.690293291762307,0.223620332016295,3.08689860862922,0.197394180617397,0.65641601738097,0.690293291762307,0.00202256571340114,0.00877192606055192,0.649205349170067,1,FALSE,FALSE,FALSE,FALSE
"wb_OG0009175",130.270537343457,-1.71214417156636,0.483364892873054,-3.54213596562549,0.00607799626366028,0.0515946170720573,-1.71214417156636,0.000396900836065368,0.00221043581402353,-1.50613194236244,0.661736264718082,TRUE,FALSE,TRUE,FALSE
"Dyrk2_OG0003592_OG0",1454.2962636759,-1.50542371793411,0.314247746952223,-4.79056328178859,0.000688421823011978,0.00859476253080984,-1.50542371793411,1.66313758965593e-06,1.87160196872634e-05,-1.4142310775455,0.537849279326098,TRUE,FALSE,TRUE,FALSE
"CG43333_OG0003593_OG0",204.086690692348,2.71934776564572,0.390231312442625,6.9685534680038,6.45461149543806e-09,2.28661020233696e-07,2.71934776564572,3.20216282983347e-12,9.40803109256164e-11,2.62240417574718,0.000189270759029598,TRUE,TRUE,FALSE,TRUE
"CG31769_OG0009409",243.340989865549,-0.0881422755697774,0.447028796753084,-0.197173596443861,0.915701434092065,0.999999999999997,-0.0881422755697774,0.843691691990271,0.898247431214119,-0.0670477255675443,1,FALSE,FALSE,FALSE,FALSE
"CG15293_OG0001249",1101.26193479597,-1.03713133980134,0.647393675798578,-1.60201030466046,0.212149326467184,0.683909770243916,-1.03713133980134,0.10915333081601,0.205392451639024,-0.701072871387283,1,FALSE,FALSE,FALSE,FALSE
"CG46301_OG0009410",43.2887072283933,-1.6940689179028,0.691164185464849,-2.45103689330118,0.0427788005113024,0.23438769928387,-1.6940689179028,0.0142445352477279,0.0426553629496349,-1.26856829714418,1,FALSE,FALSE,FALSE,FALSE
"Fak_OG0007040",1830.32989062863,-0.183027429239526,0.184396803579222,-0.992573763139517,0.957296145294012,0.999999999999997,-0.183027429239526,0.320917716009253,0.457395141205345,-0.173265087646263,1,FALSE,FALSE,FALSE,FALSE
"CG32679_OG0000370_OG1",41.5213432964132,1.02542748840902,0.944524344002655,1.08565490653583,0.34215999747416,0.901857656517307,1.02542748840902,0.277631698063091,0.410672272097243,0.461574585134393,1,FALSE,FALSE,FALSE,FALSE
"CG18095_OG0011804",8.03960297160118,1.03974654404378,1.94980403469896,0.53325694559059,0.605812357148925,0.999999999999997,1.03974654404378,0.593855726836136,0.711365508721069,0.146632664698249,1,FALSE,FALSE,FALSE,FALSE
