"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","significant","significant_strict","higher_in_Dsim","lower_in_Dsim"
"CalpA_OG0003035",3224.95154945043,0.593657328755012,0.223719774527792,2.65357557242337,0.337741306196606,0.999999999999996,0.593657328755012,0.00796439339548639,0.0399404682781113,0.542555787378191,1,FALSE,FALSE,FALSE,FALSE
"wb_OG0009175",130.270537343457,-1.68023135608902,0.485216268261121,-3.46285041536323,0.00750344350358955,0.117247278822809,-1.68023135608902,0.000534485445470906,0.00573322392038978,-1.44080680227778,1,FALSE,FALSE,FALSE,FALSE
"Dyrk2_OG0003592_OG0",1454.2962636759,-1.11439445231851,0.314147187609866,-3.5473640900534,0.0252472393911413,0.261893403959059,-1.11439445231851,0.000389106453318225,0.0046564653980631,-1.00082304209609,1,FALSE,FALSE,FALSE,FALSE
"CG43333_OG0003593_OG0",204.086690692348,3.02629379446573,0.390123531640494,7.75727057975709,4.72100612840447e-11,3.45725620433082e-09,3.02629379446573,8.67766606931761e-15,6.21561584950465e-13,2.93161025345742,7.48133449154603e-06,TRUE,TRUE,FALSE,TRUE
"CG31769_OG0009409",243.340989865549,-0.839252423750608,0.449610840942947,-1.86661963486131,0.226707881495774,0.955210150759137,-0.839252423750608,0.0619547236514175,0.160351476501687,-0.623832699625479,1,FALSE,FALSE,FALSE,FALSE
"CG15293_OG0001249",1101.26193479597,1.52890828374094,0.646269956990608,2.36574246907652,0.0565307006199414,0.431693808330255,1.52890828374094,0.0179939562507588,0.0691907103012133,1.07474270262628,1,FALSE,FALSE,FALSE,FALSE
"CG46301_OG0009410",43.2887072283933,0.209030385742436,0.669370302368835,0.312279145045274,0.812849839762924,0.999999999999996,0.209030385742436,0.754828387963317,0.850936813156888,0.100719710709621,1,FALSE,FALSE,FALSE,FALSE
"Fak_OG0007040",1830.32989062863,-0.251040866924738,0.18465634504297,-1.35950306428041,0.911231498624369,0.999999999999996,-0.251040866924738,0.173987232138847,0.325392931004098,-0.232591159798524,1,FALSE,FALSE,FALSE,FALSE
"CG32679_OG0000370_OG1",41.5213432964132,2.70379112889654,0.937341947976945,2.8845301703739,0.00967429707411404,0.140434729568463,2.70379112889654,0.00391998195412436,0.0243769219998874,1.94671899596057,0.679417626563124,FALSE,FALSE,FALSE,FALSE
"CG18095_OG0011804",8.03960297160118,4.49285403186742,1.88795053848078,2.3797519798812,0.0213081207131894,0.235204261595644,4.49285403186742,0.017324293964706,0.0675503049280421,0.416427505345086,0.671907196663633,FALSE,FALSE,FALSE,FALSE
