"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","threshold_padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","pvalue","padj","significant","significant_strict","higher_in_Dere","lower_in_Dere"
"CG7102_OG0000805_OG0",477.421309131897,-5.83553030406028,0.317147088685934,-18.4000752718216,8.20561729028434e-64,4.23798539313475e-61,-5.83553030406028,1.31182421501649e-75,6.43646551097843e-73,-5.79908148717674,6.04436760522089e-50,8.20561729028434e-64,4.23798539313475e-61,TRUE,TRUE,TRUE,FALSE
"ValRS-m_OG0004106_OG0",228.354188656059,-4.73442925195005,0.25975897292472,-18.2262394967281,4.8245805909014e-60,2.36718046692577e-57,-4.73442925195005,3.19552757267755e-74,1.49322438431832e-71,-4.70766938807547,1.87636098914181e-44,4.8245805909014e-60,2.36718046692577e-57,TRUE,TRUE,TRUE,FALSE
"lola_OG0000541_OG0",780.588525079966,-3.58890987083335,0.189977114786459,-18.8912747457367,9.58357147244938e-60,4.47826604091171e-57,-3.58890987083335,1.34556954261031e-79,6.94951259033418e-77,-3.57003331546894,5.39517891516187e-40,9.58357147244938e-60,4.47826604091171e-57,TRUE,TRUE,TRUE,FALSE
"CG42822_OG0000391_OG0",665.144743101969,-6.08095548611716,0.363427461114163,-16.7322399564269,1.60330539399308e-53,7.15147083238821e-51,-6.08095548611716,7.63134906228435e-63,3.12026784784151e-60,-6.03606658625708,4.77996336839124e-42,1.60330539399308e-53,7.15147083238821e-51,TRUE,TRUE,TRUE,FALSE
"CG30043_OG0000025_OG2",135.370048327324,-5.78181312479991,0.345131590775937,-16.7524888457792,3.60787711270646e-53,1.53930861334733e-50,-5.78181312479991,5.43059874885398e-63,2.316976761848e-60,-5.73923716758984,2.52973573556519e-41,3.60787711270646e-53,1.53930861334733e-50,TRUE,TRUE,TRUE,FALSE
"Spn47C_OG0002783_OG0",516.582605935349,-7.54751950474512,0.474292341585283,-15.9132223799317,3.04039886605212e-50,1.24314308635706e-47,-7.54751950474512,5.13035372764264e-57,1.67813870431191e-54,-7.48380512445816,4.87324679854021e-41,3.04039886605212e-50,1.24314308635706e-47,TRUE,TRUE,TRUE,FALSE
"stw_OG0012235_OG0",1837.85515748671,8.49141822543381,0.538448612570379,15.7701552705253,3.94488810194842e-50,1.5484474777768e-47,8.49141822543381,4.99268916791209e-56,1.53103933764754e-53,8.41265426125346,1.17846397276727e-41,3.94488810194842e-50,1.5484474777768e-47,TRUE,TRUE,FALSE,TRUE
"RabX5_OG0011023",53191.8610187641,-17.7492573927763,1.18788799277819,-14.9418611019588,4.46349968759488e-48,1.68462778593725e-45,-17.7492573927763,1.75990519551823e-50,4.7972082454501e-48,-17.6382060709005,9.31262298488325e-43,4.46349968759488e-48,1.68462778593725e-45,TRUE,TRUE,TRUE,FALSE
"Mtp_OG0003669_OG0",962.530277868158,-7.88440777394284,0.512483903261501,-15.3846934972311,2.26945279249701e-47,8.24820009361969e-45,-7.88440777394284,2.07356065607115e-53,5.98466197589005e-51,-7.81849357647382,7.26993004072767e-39,2.26945279249701e-47,8.24820009361969e-45,TRUE,TRUE,TRUE,FALSE
"dare_OG0002800_OG0",502.988149900632,-4.04963382405591,0.246458194878183,-16.4313214501044,2.49237660768439e-47,8.73488987543106e-45,-4.04963382405591,1.14144201989299e-60,4.48038821648395e-58,-4.02047540446352,5.73104354045584e-33,2.49237660768439e-47,8.73488987543106e-45,TRUE,TRUE,TRUE,FALSE
"Rpt3R_OG0004561",424.50293491654,-4.86250137180153,0.307931077560114,-15.790875706114,7.31744808383382e-46,2.47607303609177e-43,-4.86250137180153,3.59553508544389e-56,1.13816083204712e-53,-4.82109567123079,7.06660294259276e-34,7.31744808383382e-46,2.47607303609177e-43,TRUE,TRUE,TRUE,FALSE
"CG11550_OG0002660",706.554459257692,5.91805072588486,0.384470020532301,15.3927495248948,2.11895619318336e-45,6.93110570790277e-43,5.91805072588486,1.83084226609225e-53,5.44425913853431e-51,5.86331061885808,3.08403803961561e-35,2.11895619318336e-45,6.93110570790277e-43,TRUE,TRUE,FALSE,TRUE
"CG5254_OG0003190_OG0",1500.68832756177,9.58324565406361,0.660549644855775,14.5079869903738,2.51007559847737e-43,7.94560382188982e-41,9.58324565406361,1.0783904230345e-47,2.51958219553274e-45,9.46324307996849,2.40163640905944e-36,2.51007559847737e-43,7.94560382188982e-41,TRUE,TRUE,FALSE,TRUE
"CG32176_OG0000524_OG0",680.998634078689,-3.07941632456249,0.189075093786408,-16.2867369937217,1.12208413494304e-42,3.44094113006128e-40,-3.07941632456249,1.22598187943146e-59,4.29662863673605e-57,-3.05634843475932,5.33479335085872e-26,1.12208413494304e-42,3.44094113006128e-40,TRUE,TRUE,TRUE,FALSE
"osp_OG0003394_OG0",1782.54645123112,-2.94779131935465,0.18031226969527,-16.3482569674069,2.80606385245989e-42,8.34421351036027e-40,-2.94779131935465,4.47601337468843e-60,1.62678219428954e-57,-2.92241650966388,4.22216608795536e-25,2.80606385245989e-42,8.34421351036027e-40,TRUE,TRUE,TRUE,FALSE
"CG5866_OG0012424",8851.31309075789,6.5468750907707,0.449620611026713,14.5608874019828,1.56372600963983e-41,4.5131892154693e-39,6.5468750907707,4.980702619814e-48,1.22189087020587e-45,6.48252776809348,8.80086982487538e-33,1.56372600963983e-41,4.5131892154693e-39,TRUE,TRUE,FALSE,TRUE
"osp_OG0001797_OG0",9305.75532088087,-10.2267608360493,0.754012026168841,-13.5631269543694,2.2502652278057e-38,6.30910076584496e-36,-10.2267608360493,6.62504564854203e-42,1.25022255671429e-39,-10.1125002047722,2.93585601401045e-32,2.2502652278057e-38,6.30910076584496e-36,TRUE,TRUE,TRUE,FALSE
"TrpRS-m_OG0000987_OG0",455.558000741755,-2.35082294096575,0.143557667137955,-16.3754607317955,2.47917607380524e-38,6.75782078118077e-36,-2.35082294096575,2.86330968286355e-60,1.08067915069e-57,-2.33557956339821,4.60969309639325e-19,2.47917607380524e-38,6.75782078118077e-36,TRUE,TRUE,TRUE,FALSE
"CG1663_OG0012059_OG0",183.873433015513,-4.95506982783594,0.346138118600029,-14.3152965870299,3.2864701842384e-38,8.7162518697112e-36,-4.95506982783594,1.75613339321874e-46,3.74629064949032e-44,-4.90823079037864,4.46030300864364e-28,3.2864701842384e-38,8.7162518697112e-36,TRUE,TRUE,TRUE,FALSE
"c(3)G_OG0001464_OG0",154.825022734116,4.21797532313473,0.289165379153458,14.5867231253029,3.89754609519879e-38,1.00648999558384e-35,4.21797532313473,3.4119696373268e-48,8.58504052591996e-46,4.17927837901184,1.27796350454126e-26,3.89754609519879e-38,1.00648999558384e-35,TRUE,TRUE,FALSE,TRUE
"CG12942_OG0001596_OG0",585.999674987473,-3.27435275411326,0.217880722923599,-15.0281893238505,1.92945090756352e-37,4.85479532203098e-35,-3.27435275411326,4.7994612698483e-51,1.34563181260061e-48,-3.24483343286156,1.9976959153166e-23,1.92945090756352e-37,4.85479532203098e-35,TRUE,TRUE,TRUE,FALSE
"Jheh2_OG0002941",4191.72451335142,2.23064857854709,0.138103405701592,16.1520171585557,2.50888552207106e-36,6.15492340702083e-34,2.23064857854709,1.09907942153348e-58,3.71905736672692e-56,2.21620566028583,4.20330411888399e-17,2.50888552207106e-36,6.15492340702083e-34,TRUE,TRUE,FALSE,TRUE
"CG12698_OG0008169",56.8463111746852,-5.01891926118855,0.368038911610309,-13.6369256153619,5.91767940333037e-35,1.41634604841173e-32,-5.01891926118855,2.41530194625676e-42,4.64732509776815e-40,-4.96412467873032,1.19663921660854e-25,5.91767940333037e-35,1.41634604841173e-32,TRUE,TRUE,TRUE,FALSE
"Wdfy2_OG0003644_OG0",2452.19792267753,-1.58763229256171,0.0889896831269937,-17.8406331697581,1.18582150913549e-34,2.7705872545587e-32,-1.58763229256171,3.41800886856983e-71,1.52458731942163e-68,-1.58127538456189,1.71471446591356e-09,1.18582150913549e-34,2.7705872545587e-32,TRUE,TRUE,TRUE,FALSE
